ID_Moodle,Nombre_Moodle_Extraido,URL_Moodle,Nombre_Oficial_Forms
hansen_012025,SENSIBILIZACIÓN A PERSONAS AFECTADAS POR LA ENFERMEDAD DE HANSEN - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=8,SENSIBILIZACIÓN A PERSONAS AFECTADAS POR LA ENFERMEDAD DE HANSEN - 2025 - 01
pfsag_2025,PROCESO FORMATIVO / SA (GENERAL) - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=46,PROCESO FORMATIVO / SA (GENERAL) - 2025 - 01
aisppmscva_2025,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE ADOLESCENCIA - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=15,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE ADOLESCENCIA - 2025 - 01
dac_01_2026,DIPLOMADO AIEPI CLÍNICO - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=194,DIPLOMADO AIEPI CLÍNICO - 2026 - 01
aisppmscvpi_01_2026,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=150,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2026 - 01
sello_012025,SELLO DE NO DISCRIMINACIÓN - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=11,SELLO DE NO DISCRIMINACIÓN - 2025 - 01
aisppmscvi_2025,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE INFANCIA - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=16,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE INFANCIA - 2025 - 01
aisppmscvpi_02_2026,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2026 - 02,https://moodle.cali.gov.co/report/progress/index.php?course=171,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2026 - 02
pir_sspm_2025,PROCESO DE INDUCCIÓN Y REINDUCCIÓN DE LA SECRETARÍA DE SALUD - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=73,PROCESO DE INDUCCIÓN Y REINDUCCIÓN DE LA SECRETARÍA DE SALUD - 2025 - 01
aisppmscvi_03_2025,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE INFANCIA - 2025 - 03,https://moodle.cali.gov.co/report/progress/index.php?course=139,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE INFANCIA - 2025 - 03
srp_sm_012025,ESTRATEGIAS DE INTERVENCIÓN EN SALUD MENTAL Y PREVENCIÓN DEL CONSUMO DE SUSTANCIAS PSICOACTIVAS EN EL CONTEXTO DEL SISTEMA DE RESPONSABILIDAD PENAL ADOLESCENTE - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=68,ESTRATEGIAS DE INTERVENCIÓN EN SALUD MENTAL Y PREVENCIÓN DEL CONSUMO DE SUSTANCIAS PSICOACTIVAS EN EL CONTEXTO DEL SISTEMA DE RESPONSABILIDAD PENAL ADOLESCENTE - 2025 - 01
aisppmscvi_02_2026,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE INFANCIA - 2026 - 02,https://moodle.cali.gov.co/report/progress/index.php?course=172,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE INFANCIA - 2026 - 02
aci_01_2026,ATENCIÓN EN CÁNCER INFANTIL - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=168,ATENCIÓN EN CÁNCER INFANTIL - 2026 - 01
tbfr_012026,TUBERCULOSIS FARMACORRESISTENTE - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=223,TUBERCULOSIS FARMACORRESISTENTE - 2026 - 01
sihansen_012025,SISTEMA DE INFORMACIÓN EN ENFERMEDAD DE HANSEN - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=44,SISTEMA DE INFORMACIÓN EN ENFERMEDAD DE HANSEN - 2025 - 01
uf_sm_012025,UNIDAD FUNCIONAL / NORTE - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=69,UNIDAD FUNCIONAL / NORTE - 2025 - 01
anms_012025,ADICCIONES NO MEDIADAS POR SUSTANCIAS - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=90,ADICCIONES NO MEDIADAS POR SUSTANCIAS - 2025 - 01
dis_hansen,AUTOCUIDADO Y PREVENCIÓN DE DISCAPACIDAD EN ENFERMEDAD DE HANSEN - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=166,AUTOCUIDADO Y PREVENCIÓN DE DISCAPACIDAD EN ENFERMEDAD DE HANSEN - 2026 - 01
aisppmscvpi_03_2025,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2025 - 03,https://moodle.cali.gov.co/report/progress/index.php?course=138,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2025 - 03
uf_centro_012025,UNIDAD FUNCIONAL / CENTRO - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=89,UNIDAD FUNCIONAL / CENTRO - 2025 - 01
aisppmscva_01_2026,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE ADOLESCENCIA - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=173,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE ADOLESCENCIA - 2026 - 01
0hansen_012026,CERO ESTIGMA HANSEN - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=169,CERO ESTIGMA HANSEN - 2026 - 01
acm_02_2026,ATENCIÓN EN CÁNCER DE MAMA - 2026 - 02,https://moodle.cali.gov.co/report/progress/index.php?course=222,ATENCIÓN EN CÁNCER DE MAMA - 2026 - 02
ci_022025,ATENCIÓN EN CÁNCER INFANTIL - 2025 - 02,https://moodle.cali.gov.co/report/progress/index.php?course=118,ATENCIÓN EN CÁNCER INFANTIL - 2025 - 02
c_pulmon_012026,ATENCIÓN EN CÁNCER DE PULMÓN - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=195,ATENCIÓN EN CÁNCER DE PULMÓN - 2026 - 01
zoe_012025,ZOE - ZONAS DE ORIENTACIÓN ESCOLAR - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=70,ZOE - ZONAS DE ORIENTACIÓN ESCOLAR - 2025 - 01
aisppmscvja_2025,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE JUVENTUD - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=14,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE JUVENTUD - 2025 - 01
dx_hansen_012025,DIAGNÓSTICO DE LA ENFERMEDAD DE HANSEN - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=141,DIAGNÓSTICO DE LA ENFERMEDAD DE HANSEN - 2025 - 01
fasm_012025,"NUEVAS FORMAS DE ADICCIÓN NO MEDIADAS POR SUSTACIAS, Y SUS EFECTOS EN LA SALUD MENTAL - 2025 - 01",https://moodle.cali.gov.co/report/progress/index.php?course=91,"NUEVAS FORMAS DE ADICCIÓN NO MEDIADAS POR SUSTACIAS, Y SUS EFECTOS EN LA SALUD MENTAL - 2025 - 01"
aisppmscvja_01_2026,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE JUVENTUD - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=174,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE JUVENTUD - 2026 - 01
acp_2c_2025,ATENCIÓN EN CÁNCER DE PRÓSTATA - 2025 - 02,https://moodle.cali.gov.co/report/progress/index.php?course=36,ATENCIÓN EN CÁNCER DE PRÓSTATA - 2025 - 02
aisppmscvpi_2025,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=17,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2025 - 01
spa_012026,PROGRAMA UNIVERSITARIO / PREVENCIÓN DEL CONSUMO DE SPA - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=221,PROGRAMA UNIVERSITARIO / PREVENCIÓN DEL CONSUMO DE SPA - 2026 - 01
nyt_012026,NUTRICIÓN Y TUBERCULOSIS - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=193,NUTRICIÓN Y TUBERCULOSIS - 2026 - 01
aispmscvv_012025,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE VEJEZ - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=12,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE VEJEZ - 2025 - 01
ce_012025,CENTROS DE ESCUCHA - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=71,CENTROS DE ESCUCHA - 2025 - 01
aisppmscvaz_2025,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE ADULTEZ - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=13,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE ADULTEZ - 2025 - 01
aisppmscvi_01_2026,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE INFANCIA - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=151,ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE INFANCIA - 2026 - 01
pfsag_2026,PROCESO FORMATIVO / SA (GENERAL) 40H - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=152,PROCESO FORMATIVO / SA (GENERAL) 40H - 2026 - 01
cm_2025,ATENCIÓN EN CÁNCER DE MAMA - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=24,ATENCIÓN EN CÁNCER DE MAMA - 2025 - 01
dac_2025,DIPLOMADO AIEPI CLÍNICO - 2025 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=31,DIPLOMADO AIEPI CLÍNICO - 2025 - 01
sello_01_2026,SELLO DE NO DISCRIMINACIÓN - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=228,SELLO DE NO DISCRIMINACIÓN - 2026 - 01
soat_012026,LINEAMIENTOS PARA MEJORAR EL ABORDAJE DE LA SALUD BUCAL - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=225,LINEAMIENTOS PARA MEJORAR EL ABORDAJE DE LA SALUD BUCAL - 2026 - 01
smuniversidad_012026,SALUD MENTAL PARA COMUNIDAD UNIVERSITARIA - 2026 - 01,https://moodle.cali.gov.co/report/progress/index.php?course=221,SALUD MENTAL PARA COMUNIDAD UNIVERSITARIA - 2026 - 01
