ID_Formulario,Nombre_Curso,Marca temporal,Comuna o corregimiento de residencia,Sexo,Curso de vida,Escolaridad,Perfil,¿Se dio a conocer el objetivo de la capacitación?,¿Se cumplió el objetivo de la capacitación?,¿Los contenidos brindados fueron coherentes con el objetivo planteado?,¿Los temas se desarrollaron en el tiempo previsto?,¿La capacitación aportó nuevos conceptos y/o técnicas que antes no conocía?,¿Los conocimientos recibidos durante la capacitación le permitirán llevarlos a la práctica en su vida cotidiana?,¿La metodología utilizada por el facilitador permitió el entendimiento de los contenidos?,¿El facilitador demostró el dominio del tema brindado?,¿Durante el desarrollo de la capacitación se propició la participación de los asistentes?,¿Durante la capacitación se dio espacio para la solución de inquietudes?,¿Cómo califica las condiciones del espacio físico o medio virtual en el que se desarrolló la capacitación?,¿El material utilizado permitió el entendimiento del tema?,"En general, ¿Cómo se sintió con la actividad de capacitación realizada?","Comuna o corregimiento de residencia (Si no es de Cali, seleccionar la opción N/A)",ESE
1Y8KZb3MlzbkJXYRYwLnsOaaS5y2S69f5AEzDSFqetlE,-Satisfacción del Curso virtual - SELLO DE NO DISCRIMINACIÓN 1°C 2026 - (SELLO_012026),2026-08-02T03:19:57.249Z,COMUNA 17,Femenino,Adultez (29 - 59 años),Postgrado,Área de la salud,5,5,5,5,5,5,5,4,5,3,4,5,4,,
1Y8KZb3MlzbkJXYRYwLnsOaaS5y2S69f5AEzDSFqetlE,-Satisfacción del Curso virtual - SELLO DE NO DISCRIMINACIÓN 1°C 2026 - (SELLO_012026),2026-07-27T16:08:00.371Z,COMUNA 19,Femenino,Adultez (29 - 59 años),Postgrado,Área de la salud,5,5,5,5,5,5,5,5,5,5,4,5,5,,
1Y8KZb3MlzbkJXYRYwLnsOaaS5y2S69f5AEzDSFqetlE,-Satisfacción del Curso virtual - SELLO DE NO DISCRIMINACIÓN 1°C 2026 - (SELLO_012026),2026-07-21T22:32:36.533Z,COMUNA 11,Femenino,Adultez (29 - 59 años),Pregrado,Área de la salud,5,5,5,5,5,5,5,5,5,5,5,5,5,,
1Y8KZb3MlzbkJXYRYwLnsOaaS5y2S69f5AEzDSFqetlE,-Satisfacción del Curso virtual - SELLO DE NO DISCRIMINACIÓN 1°C 2026 - (SELLO_012026),2026-08-01T17:37:09.394Z,COMUNA 19,Femenino,Juventud (18 - 28 años),Postgrado,Área de la salud,4,4,4,4,4,4,4,4,4,4,4,4,4,,
11XjArl7gChPvlxKeA_0APY5pJLeRv53_mZqZUCjAcE8,-Satisfacción del Curso virtual - SELLO DE NO DISCRIMINACIÓN 1°C 2025 - (SELLO_012025),2025-09-23T21:17:03.743Z,COMUNA 9,Masculino,Adultez (29 - 59 años),Pregrado,Área de la salud,4,4,4,4,2,2,4,1,1,1,4,4,3,,
11XjArl7gChPvlxKeA_0APY5pJLeRv53_mZqZUCjAcE8,-Satisfacción del Curso virtual - SELLO DE NO DISCRIMINACIÓN 1°C 2025 - (SELLO_012025),2025-10-01T20:17:36.825Z,COMUNA 22,Femenino,Adultez (29 - 59 años),Postgrado,Área de la salud,5,5,5,5,5,5,5,5,5,5,5,5,5,,
11XjArl7gChPvlxKeA_0APY5pJLeRv53_mZqZUCjAcE8,-Satisfacción del Curso virtual - SELLO DE NO DISCRIMINACIÓN 1°C 2025 - (SELLO_012025),2025-11-30T05:20:26.425Z,COMUNA 17,Femenino,Adultez (29 - 59 años),Postgrado,Área de la salud,5,5,5,5,5,5,5,5,5,5,5,5,5,,
11XjArl7gChPvlxKeA_0APY5pJLeRv53_mZqZUCjAcE8,-Satisfacción del Curso virtual - SELLO DE NO DISCRIMINACIÓN 1°C 2025 - (SELLO_012025),2025-10-11T03:30:53.795Z,COMUNA 16,Femenino,Adultez (29 - 59 años),Pregrado,Área de la salud,5,5,5,5,5,5,4,4,5,4,5,5,5,,
11XjArl7gChPvlxKeA_0APY5pJLeRv53_mZqZUCjAcE8,-Satisfacción del Curso virtual - SELLO DE NO DISCRIMINACIÓN 1°C 2025 - (SELLO_012025),2025-10-02T20:49:05.213Z,COMUNA 10,Masculino,Adultez (29 - 59 años),Pregrado,Otro,5,5,5,5,5,5,5,5,5,5,5,5,5,,
11XjArl7gChPvlxKeA_0APY5pJLeRv53_mZqZUCjAcE8,-Satisfacción del Curso virtual - SELLO DE NO DISCRIMINACIÓN 1°C 2025 - (SELLO_012025),2025-09-17T16:03:50.181Z,COMUNA 8,Femenino,Adultez (29 - 59 años),Postgrado,Área de la salud,5,5,5,5,5,5,5,5,5,5,5,5,5,,
