Nombre_Curso,ID_Moodle_Original,Total_Inscritos,Tasa_Finalizacion_%,Tasa_Abandono_%,Tasa_Inactividad_%,Tiempo_Promedio_Dias
ATENCIÓN EN CÁNCER DE PRÓSTATA - 2025 - 02,acp_2c_2025,50,12.0,20.0,68.0,13.4
ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2026 - 02,aisppmscvpi_02_2026,384,35.9,7.6,56.5,3.1
LINEAMIENTOS PARA MEJORAR EL ABORDAJE DE LA SALUD BUCAL - 2026 - 01,soat_012026,173,0.6,0.6,98.8,1.8
PROCESO FORMATIVO / SA (GENERAL) - 2025 - 01,pfsag_2025,1077,98.1,0.6,1.3,81.6
PROCESO DE INDUCCIÓN Y REINDUCCIÓN DE LA SECRETARÍA DE SALUD - 2025 - 01,pir_sspm_2025,1248,84.4,2.2,13.4,2.5
CERO ESTIGMA HANSEN - 2026 - 01,0hansen_012026,45,26.7,6.7,66.7,2.8
ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE VEJEZ - 2025 - 01,aispmscvv_012025,30,16.7,6.7,76.7,1.5
DIPLOMADO AIEPI CLÍNICO - 2026 - 01,dac_01_2026,96,7.3,16.7,76.0,18.0
ATENCIÓN EN CÁNCER INFANTIL - 2026 - 01,aci_01_2026,112,43.8,9.8,46.4,369.7
ATENCIÓN EN CÁNCER DE PULMÓN - 2026 - 01,c_pulmon_012026,69,15.9,10.1,73.9,3.5
UNIDAD FUNCIONAL / NORTE - 2025 - 01,uf_sm_012025,18,11.1,0.0,88.9,0.1
AUTOCUIDADO Y PREVENCIÓN DE DISCAPACIDAD EN ENFERMEDAD DE HANSEN - 2026 - 01,dis_hansen,29,31.0,27.6,41.4,12.0
ATENCIÓN EN CÁNCER DE MAMA - 2026 - 02,acm_02_2026,42,31.0,9.5,59.5,2.4
SENSIBILIZACIÓN A PERSONAS AFECTADAS POR LA ENFERMEDAD DE HANSEN - 2025 - 01,hansen_012025,69,42.0,8.7,49.3,10.2
SELLO DE NO DISCRIMINACIÓN - 2026 - 01,sello_01_2026,165,15.8,3.6,80.6,1.0
ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2025 - 01,aisppmscvpi_2025,50,26.0,10.0,64.0,10.3
ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE ADOLESCENCIA - 2026 - 01,aisppmscva_01_2026,310,53.2,9.4,37.4,6.0
DIPLOMADO AIEPI CLÍNICO - 2025 - 01,dac_2025,95,23.2,13.7,63.2,32.0
UNIDAD FUNCIONAL / CENTRO - 2025 - 01,uf_centro_012025,10,0.0,0.0,100.0,0.0
ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE INFANCIA - 2025 - 03,aisppmscvi_03_2025,75,26.7,12.0,61.3,10.6
ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2026 - 01,aisppmscvpi_01_2026,979,51.7,5.7,42.6,2.9
ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE ADOLESCENCIA - 2025 - 01,aisppmscva_2025,37,32.4,13.5,54.1,9.9
ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE PRIMERA INFANCIA - 2025 - 03,aisppmscvpi_03_2025,75,22.7,8.0,69.3,13.3
SALUD MENTAL PARA COMUNIDAD UNIVERSITARIA - 2026 - 01,smuniversidad_012026,1,0.0,0.0,100.0,0.0
ESTRATEGIAS DE INTERVENCIÓN EN SALUD MENTAL Y PREVENCIÓN DEL CONSUMO DE SUSTANCIAS PSICOACTIVAS EN EL CONTEXTO DEL SISTEMA DE RESPONSABILIDAD PENAL ADOLESCENTE - 2025 - 01,srp_sm_012025,33,18.2,3.0,78.8,30.4
ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE JUVENTUD - 2026 - 01,aisppmscvja_01_2026,310,46.1,4.5,49.4,2.8
DIAGNÓSTICO DE LA ENFERMEDAD DE HANSEN - 2025 - 01,dx_hansen_012025,67,25.4,25.4,49.3,1.0
ATENCIÓN INTEGRAL EN SALUD PARA LA PROMOCIÓN Y MANTENIMIENTO DE LA SALUD EN EL CURSO DE VIDA DE JUVENTUD - 2025 - 01,aisppmscvja_2025,33,36.4,12.1,51.5,4.4
ZOE - ZONAS DE ORIENTACIÓN ESCOLAR - 2025 - 01,zoe_012025,270,14.1,1.1,84.8,4.8
